09-07-2020 16:39:34,	 0,	 0,	 0.0,	 0,	 0,	 -3.469446951953614e-18	 
09-07-2020 16:39:34,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:35,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:35,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:35,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:36,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:36,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:36,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:36,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:37,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:37,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:37,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:37,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:38,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:38,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:38,	 -1,	 -1,	 -1.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:39,	 -1,	 -1,	 -0.9999999999999999,	 0,	 0,	 0.0	 
09-07-2020 16:39:39,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:39,	 0,	 0,	 -5.551115123125783e-17,	 0,	 0,	 0.0	 
09-07-2020 16:39:39,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:40,	 0,	 0,	 6.938893903907228e-18,	 0,	 0,	 0.0	 
09-07-2020 16:39:40,	 0,	 0,	 -8.673617379884035e-19,	 0,	 0,	 0.0	 
09-07-2020 16:39:40,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:40,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:41,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:41,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:41,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:41,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:42,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:42,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:42,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:42,	 9,	 9,	 9.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:43,	 9,	 9,	 9.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:43,	 9,	 9,	 8.999999999999998,	 0,	 0,	 0.0	 
09-07-2020 16:39:43,	 8,	 8,	 7.999999999999998,	 0,	 0,	 0.0	 
09-07-2020 16:39:43,	 9,	 9,	 9.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:44,	 8,	 8,	 8.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:44,	 9,	 9,	 9.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:44,	 8,	 8,	 8.0,	 8,	 8,	 8.0	 
09-07-2020 16:39:44,	 9,	 9,	 9.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:44,	 9,	 9,	 9.0,	 9,	 9,	 8.999999999999998	 
09-07-2020 16:39:45,	 9,	 9,	 9.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:45,	 9,	 9,	 9.0,	 9,	 9,	 8.999999999999998	 
09-07-2020 16:39:45,	 9,	 9,	 9.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:45,	 0,	 0,	 0.0,	 9,	 9,	 9.0	 
