38510,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.139,	 0.0,	 0.006,	 8.109,	 -1.879,	 0.0,	 12.388,	 -10.402	 
38510,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.374,	 -0.502,	 -0.596,	 7.876,	 2.782,	 -6.763,	 4.272,	 1.218	 
38510,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.211,	 0.846,	 -0.183,	 7.085,	 -1.34,	 3.252,	 0.058,	 1.412	 
38510,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.094,	 0.088,	 0.937,	 7.72,	 0.458,	 -1.574,	 2.071,	 3.847	 
38510,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.07,	 -0.251,	 0.741,	 8.808,	 -0.021,	 0.076,	 0.273,	 4.858	 
39112,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.058,	 0.0,	 0.169,	 9.456,	 0.014,	 -0.0,	 0.292,	 5.259	 
39112,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.101,	 -0.208,	 -0.08,	 9.56,	 -0.064,	 0.052,	 0.354,	 5.635	 
39112,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.085,	 0.156,	 -0.142,	 9.339,	 0.018,	 -0.18,	 0.201,	 6.023	 
39112,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.079,	 -0.148,	 -0.131,	 9.249,	 0.031,	 -0.116,	 -0.154,	 6.036	 
39112,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.038,	 0.138,	 -0.143,	 9.016,	 0.001,	 -0.005,	 -0.298,	 5.738	 
39745,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.07,	 0.0,	 0.349,	 8.977,	 -0.091,	 0.0,	 0.282,	 5.376	 
39745,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.041,	 -0.251,	 0.047,	 9.275,	 0.102,	 -0.327,	 -0.11,	 5.557	 
39745,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.061,	 -0.102,	 -0.376,	 9.041,	 0.006,	 0.039,	 -0.455,	 5.13	 
39745,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.017,	 0.119,	 -0.356,	 8.549,	 -0.014,	 0.061,	 -0.334,	 4.65	 
39745,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.016,	 0.058,	 -0.144,	 8.264,	 -0.003,	 0.012,	 -0.247,	 4.313	 
40341,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.008,	 -0.0,	 0.152,	 8.148,	 -0.015,	 0.0,	 -0.054,	 4.028	 
40341,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.004,	 -0.03,	 0.117,	 8.316,	 -0.015,	 -0.054,	 -0.119,	 3.938	 
40341,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.016,	 -0.044,	 0.029,	 8.407,	 0.014,	 -0.107,	 -0.312,	 3.692	 
40341,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.002,	 0.015,	 -0.005,	 8.407,	 0.013,	 -0.058,	 -0.51,	 3.187	 
40341,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.003,	 0.01,	 0.025,	 8.42,	 0.003,	 -0.013,	 -0.594,	 2.513	 
40942,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.017,	 0.0,	 0.1,	 8.459,	 0.143,	 0.0,	 -1.231,	 1.788	 
40942,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.031,	 -0.06,	 0.027,	 8.549,	 -0.212,	 0.514,	 -0.614,	 0.557	 
40942,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.048,	 0.052,	 0.017,	 8.549,	 0.157,	 -0.249,	 -0.295,	 0.194	 
